Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Question 11: all data,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
,,,,,,,,,,,,,,,,,sigmaplot,,,,,
,,,,,,,,,,,,,,,,, pymol,,,,,
,,,,,,,,,,,,,,,,, discovery studio visualizer,,,,,
59,8/22/2014 14:48:15,university of newcastle,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,11-15 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"Python, Fortran, Sage, IDL", python,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, fortran,,,,,
,,,,,,,,,,,,,,,,, sage,,,,,
,,,,,,,,,,,,,,,,, idl,,,,,
61,8/22/2014 15:17:26,ucl,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Social studies,esrc - economic and social research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"matlab, stata, R, fortran, excel ",matlab,reader,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,, stata,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, fortran,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
62,8/22/2014 15:20:32,ucl,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",mrc - medical research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,"No, but we expected to develop software as part of the project","NONMEM,Berkley Madonna,WinBUGS,PoPED,",nonmem,other,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,,berkeley-madonna,,,,,
,,,,,,,,,,,,,,,,, winbugs,,,,,
,,,,,,,,,,,,,,,,,poped,,,,,
,,,,,,,,,,,,,,,,,,,,,,
63,8/22/2014 15:21:10,ucl,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Excel, XLSTAT, Grams, Unscrambler, R, Origin, SPSS", microsoft excel,professor,Male,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,, xlstat,,,,,
,,,,,,,,,,,,,,,,, grams,,,,,
,,,,,,,,,,,,,,,,, unscrambler,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, origin,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
64,8/22/2014 15:26:00,university of cardiff,I conduct research,,,,,Social studies,"other foundation, society or charity",6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"SPSS, NVivo",spss,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,nvivo,,,,,
65,8/22/2014 15:41:40,university of edinburgh,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",wellcome trust,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,"Image Pro Plus, Lasergene, Gentle, Image J, R, Bioconductor, SeqMonk, IGV genome browser, galaxy, OMERO, perl express, tinnR,cygwin, cytoscape, knime, photoshop, illustrator, MS office, open office",image pro plus,reader,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, lasergene,,,,,
,,,,,,,,,,,,,,,,, gentle,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, bioconductor,,,,,
,,,,,,,,,,,,,,,,, seqmonk,,,,,
,,,,,,,,,,,,,,,,, igv genome browser,,,,,
,,,,,,,,,,,,,,,,, galaxy,,,,,
,,,,,,,,,,,,,,,,, omero,,,,,
,,,,,,,,,,,,,,,,,perl,,,,,
,,,,,,,,,,,,,,,,, tinnr,,,,,
,,,,,,,,,,,,,,,,,cygwin,,,,,
,,,,,,,,,,,,,,,,, cytoscape,,,,,
,,,,,,,,,,,,,,,,, knime,,,,,
,,,,,,,,,,,,,,,,, photoshop,,,,,
,,,,,,,,,,,,,,,,, illustrator,,,,,
,,,,,,,,,,,,,,,,,microsoft office,,,,,
,,,,,,,,,,,,,,,,, open office,,,,,
66,8/22/2014 15:59:11,university of edinburgh,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"ImageJ, Metamorph, Matlab, COPASI, SBSI, BioDare, MapQTL, ,Online data , analysis sources: WoK, PubMed, TAIR, AraMine, DIURNAL, Biomodels, JWS Online, ", imagej,other,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, metamorph,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, copasi,,,,,
,,,,,,,,,,,,,,,,, sbsi,,,,,
,,,,,,,,,,,,,,,,, biodare,,,,,
,,,,,,,,,,,,,,,,, mapqtl,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,online data ,,,,,
,,,,,,,,,,,,,,,,,wok,,,,,
,,,,,,,,,,,,,,,,, pubmed,,,,,
,,,,,,,,,,,,,,,,, tair,,,,,
,,,,,,,,,,,,,,,,, aramine,,,,,
,,,,,,,,,,,,,,,,, diurnal,,,,,
,,,,,,,,,,,,,,,,, biomodels,,,,,
,,,,,,,,,,,,,,,,, jws online,,,,,
,,,,,,,,,,,,,,,,,,,,,,
67,8/22/2014 15:59:31,ucl,I conduct research,,,,,Architecture & planning,don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"R, Matlab, QGIS, Processing, Java, javascript, HTML, CSS",r,phd student,Male,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, qgis,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, java,,,,,
,,,,,,,,,,,,,,,,, javascript,,,,,
,,,,,,,,,,,,,,,,, html,,,,,
,,,,,,,,,,,,,,,,, css,,,,,
68,8/22/2014 16:13:13,ucl,I conduct research, I support researchers,,,,Architecture & planning,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Microsoft Excel,SketchUp,", microsoft excel,professor,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,sketchup,,,,,
,,,,,,,,,,,,,,,,,,,,,,
69,8/22/2014 17:30:56,university of cambridge,I conduct research,,,,,Architecture & planning,"other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,"ENVI-met, IES-VE, Statistical Package:R",envi-met,phd student,Female,,Microsoft Windows,True
,,,,,,,,,,,,,,,,, ies-ve,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
70,8/22/2014 18:34:07,university of newcastle,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",wellcome trust,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"R, PLINK, FaST-LMM, Merlin, Stata, EMIM, PREMIM, IMPUTE, SNPTEST, SHAPEIT, HaploView, Mendel, Unphased, FBAT",r,professor,Female,Permanent,Linux,True
,,,,,,,,,,,,,,,,, plink,,,,,
,,,,,,,,,,,,,,,,, fast-lmm,,,,,
,,,,,,,,,,,,,,,,, merlin,,,,,
,,,,,,,,,,,,,,,,, stata,,,,,
,,,,,,,,,,,,,,,,, emim,,,,,
,,,,,,,,,,,,,,,,, premim,,,,,
,,,,,,,,,,,,,,,,, impute,,,,,
,,,,,,,,,,,,,,,,, snptest,,,,,
,,,,,,,,,,,,,,,,, shapeit,,,,,
,,,,,,,,,,,,,,,,, haploview,,,,,
,,,,,,,,,,,,,,,,, mendeley,,,,,
,,,,,,,,,,,,,,,,, unphased,,,,,
,,,,,,,,,,,,,,,,, fbat,,,,,
71,8/22/2014 18:51:39,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Chemdraw ultra,mestrenova,Olex2,Knowitall,Mercury,Crystals,AgilentChem station,Topas,Gudrun,endnote,mendley",chemdraw ultra,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,mestrenova,,,,,
,,,,,,,,,,,,,,,,,olex2,,,,,
,,,,,,,,,,,,,,,,,knowitall,,,,,
,,,,,,,,,,,,,,,,,mercury,,,,,
,,,,,,,,,,,,,,,,,crystals,,,,,
,,,,,,,,,,,,,,,,,agilentchem station,,,,,
,,,,,,,,,,,,,,,,,topas,,,,,
,,,,,,,,,,,,,,,,,gudrun,,,,,
,,,,,,,,,,,,,,,,, endnote,,,,,
,,,,,,,,,,,,,,,,, mendeley,,,,,
72,8/22/2014 19:30:39,ucl,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"SAS, STATA, SPSS, R, MapInfo, ArcGIS, Python",sas,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, stata,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, mapinfo,,,,,
,,,,,,,,,,,,,,,,, arcgis,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
73,8/22/2014 19:45:32,ucl,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"matlab, octave, gnumeric sometimes, ,I am not including any electronics design software, programming,... I have maybe interpreted too tightly your definition, in as much as all the microcontroller we use, or labview, or other software which may control a data acquisition card, are used to generate data.  So I limited myself to analysing , generating the  data.",matlab,lecturer,Female,Permanent,Linux,True
,,,,,,,,,,,,,,,,, octave,,,,,
,,,,,,,,,,,,,,,,,gnumeric,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,labview,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
74,8/22/2014 22:16:43,university of edinburgh,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,Yes,"Evernote, Feedly",evernote,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, feedly,,,,,
75,8/22/2014 22:55:18,university of cambridge,I conduct research,,,,,Administrative & business studies,esrc - economic and social research council,Less than a year,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Stata, Matlab", stata,lecturer,Female,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,,matlab,,,,,
76,8/23/2014 10:37:24,university of newcastle,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",european union,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Visual Basic, R",visual basic,lecturer,Male,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,,r,,,,,
77,8/23/2014 13:09:51,university of cardiff,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",mrc - medical research council,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"CLC Main,Flowjo,ImageJ,",clc main,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,flowjo,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,,,,,,,
78,8/23/2014 14:27:56,ucl,I conduct research,,,,,Social studies,"other foundation, society or charity",1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Atlas.ti, Stata",atlas.ti,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, stata,,,,,
79,8/23/2014 20:09:09,university of cardiff,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,Yes,"Excel, R, Access", microsoft excel,lecturer,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, access,,,,,
80,8/24/2014 11:06:48,university of cambridge,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",wellcome trust,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Multiple self-written scripts in R , Perl,RNASeq software ,Various programs from GenePattern suite,GSEA , MutSig,Connectivity Map,DALI,Phyre,Rosetta,Multiple others",r ,principal investigator,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, perl,,,,,
,,,,,,,,,,,,,,,,,rnaseq software ,,,,,
,,,,,,,,,,,,,,,,,genepattern,,,,,
,,,,,,,,,,,,,,,,,gsea,,,,,
,,,,,,,,,,,,,,,,, mutsig,,,,,
,,,,,,,,,,,,,,,,,connectivity map,,,,,
,,,,,,,,,,,,,,,,,dali,,,,,
,,,,,,,,,,,,,,,,,phyre,,,,,
,,,,,,,,,,,,,,,,,rosetta,,,,,
,,,,,,,,,,,,,,,,,,,,,,
81,8/24/2014 11:58:20,university of cambridge,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Microsoft Excel,OriginLab,Spectrum,Bluehill", microsoft excel,phd student,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, origin,,,,,
,,,,,,,,,,,,,,,,,spectrum,,,,,
,,,,,,,,,,,,,,,,,bluehill,,,,,
82,8/25/2014 8:46:58,university of cardiff,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,No,Spss,spss,lecturer,,,no response,True
83,8/25/2014 8:47:23,university of cardiff,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,No,Spss,spss,lecturer,Female,Fixed term,Microsoft Windows,True
84,8/25/2014 9:27:11,university of edinburgh,I manage researchers or research projects,,,,,"Medicine, dentistry & health",uk government,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Microsoft Excel, Access,SQL,ODBC database", microsoft excel,other,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, access,,,,,
,,,,,,,,,,,,,,,,,sql,,,,,
,,,,,,,,,,,,,,,,,odbc database,,,,,
85,8/25/2014 9:58:56,university of cambridge,I conduct research,,,,,"Biological, mathematical & physical sciences",self funded,More than 20 years,No,It would make no significant difference to my work,No,No,No,,,postdoctoral researcher,Male,,Mac OS X,False
86,8/25/2014 11:12:45,university of cambridge,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,nihr,15-20 years,No,It would make no significant difference to my work,No,No,No,,,postdoctoral researcher,Male,Fixed term,Microsoft Windows,False
87,8/25/2014 12:40:37,university of edinburgh,I conduct research, I develop software for researchers,,,,Social studies,european union,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","R, CRAFTY, Repast Simphony, QuantumGIS, SPSS, MoRe4ABM, ParMa",r,postdoctoral researcher,Male,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, crafty,,,,,
,,,,,,,,,,,,,,,,, repast simphony,,,,,
,,,,,,,,,,,,,,,,, quantumgis,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, more4abm,,,,,
,,,,,,,,,,,,,,,,, parma,,,,,
88,8/25/2014 13:27:47,university of cambridge,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,DNA sequence analysis software  ,dna sequence analysis software  ,professor,Female,Permanent,Mac OS X,True
89,8/26/2014 8:55:26,university of cardiff,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"QuB , GraphPad Prism, 4Peaks, Leica Lite, Maxchelator, JustBio",qub ,postdoctoral researcher,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,,graphpad prism,,,,,
,,,,,,,,,,,,,,,,, 4peaks,,,,,
,,,,,,,,,,,,,,,,, leica lite,,,,,
,,,,,,,,,,,,,,,,, maxchelator,,,,,
,,,,,,,,,,,,,,,,, justbio,,,,,
90,8/26/2014 10:42:14,university of cambridge,I conduct research,,,,,Engineering & technology,industry,More than 20 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"SPSS,R",spss,other,Male,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,,r,,,,,
91,8/26/2014 14:15:32,ucl,I support researchers,,,,,"Medicine, dentistry & health",don't know,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,,,other,Female,Fixed term,Microsoft Windows,False
92,8/26/2014 16:04:13,university of newcastle,I conduct research,,,,,Engineering & technology,european union,11-15 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,I'm not involved in bid writing,Ansys APDL .,ansys apdl .,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
